Дата;Артикул;Наименование;Тип;Количество;Комментарий
2026-08-31;CARGO-20;Канат грузовой 20мм;Приход;96;Производство (плетение)
2026-08-31;CARGO-16;Канат грузовой 16мм;Приход;173;Производство (плетение)
2026-08-31;FENCE-10;Канат ограждающий 10мм;Приход;210;Производство (плетение)
2026-08-31;FENCE-8;Канат ограждающий 8мм;Продажа;-158;Отгрузка клиенту
2026-08-31;FENCE-8;Канат ограждающий 8мм;Приход;297;Производство (плетение)
2026-08-31;FENCE-6;Канат ограждающий 6мм;Приход;356;Производство (плетение)
2026-08-31;CABLE-8;Трос-лидер 8мм;Продажа;-135;Отгрузка клиенту
2026-08-31;CABLE-8;Трос-лидер 8мм;Приход;131;Производство (плетение)
2026-08-31;CABLE-6;Канат для протяжки кабеля 6мм;Приход;163;Производство (плетение)
2026-08-31;CABLE-4;Канат для протяжки кабеля 4мм;Продажа;-135;Отгрузка клиенту
2026-08-31;CABLE-4;Канат для протяжки кабеля 4мм;Приход;237;Производство (плетение)
2026-08-31;LEER-8;Леер для лодок 8мм;Продажа;-98;Отгрузка клиенту
2026-08-31;LEER-8;Леер для лодок 8мм;Приход;91;Производство (плетение)
2026-08-31;LEER-6;Леер для лодок 6мм;Продажа;-115;Отгрузка клиенту
2026-08-31;LEER-6;Леер для лодок 6мм;Приход;139;Производство (плетение)
2026-08-31;LEER-5;Леер для лодок 5мм;Продажа;-127;Отгрузка клиенту
2026-08-31;LEER-5;Леер для лодок 5мм;Приход;210;Производство (плетение)
2026-08-31;YAHT-12;Канат яхтенный 12мм;Продажа;-52;Отгрузка клиенту
2026-08-31;YAHT-12;Канат яхтенный 12мм;Приход;111;Производство (плетение)
2026-08-31;YAHT-10;Канат яхтенный (фалы) 10мм;Продажа;-176;Отгрузка клиенту
2026-08-31;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;159;Производство (плетение)
2026-08-31;YAHT-8;Канат яхтенный 8мм;Продажа;-184;Отгрузка клиенту
2026-08-31;YAHT-8;Канат яхтенный 8мм;Приход;201;Производство (плетение)
2026-08-31;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;253;Производство (плетение)
2026-08-31;FISH-3;Шнур рыболовный 3мм;Продажа;-314;Отгрузка клиенту
2026-08-31;FISH-3;Шнур рыболовный 3мм;Приход;332;Производство (плетение)
2026-08-31;FISH-25;Шнур рыболовный 2.5мм;Приход;387;Производство (плетение)
2026-08-31;FISH-18;Шнур рыболовный (throwline) 1.8мм;Продажа;-324;Отгрузка клиенту
2026-08-31;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;697;Производство (плетение)
2026-08-31;GLS-10;Шнур стеклянный 10мм;Продажа;-39;Отгрузка клиенту
2026-08-31;GLS-10;Шнур стеклянный 10мм;Приход;65;Производство (плетение)
2026-08-31;GLS-8;Шнур стеклянный 8мм;Продажа;-74;Отгрузка клиенту
2026-08-31;GLS-8;Шнур стеклянный 8мм;Приход;85;Производство (плетение)
2026-08-31;GLS-6;Шнур стеклянный 6мм;Продажа;-81;Отгрузка клиенту
2026-08-31;GLS-6;Шнур стеклянный 6мм;Приход;105;Производство (плетение)
2026-08-31;GLS-4;Шнур стеклянный 4мм;Продажа;-88;Отгрузка клиенту
2026-08-31;GLS-4;Шнур стеклянный 4мм;Приход;141;Производство (плетение)
2026-08-31;BAS-12;Шнур базальтовый 12мм;Продажа;-36;Отгрузка клиенту
2026-08-31;BAS-12;Шнур базальтовый 12мм;Приход;72;Производство (плетение)
2026-08-31;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;93;Производство (плетение)
2026-08-31;BAS-8;Шнур базальтовый 8мм (сердечник);Продажа;-132;Отгрузка клиенту
2026-08-31;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;124;Производство (плетение)
2026-08-31;BAS-6;Шнур базальтовый 6мм (до 500°C);Продажа;-110;Отгрузка клиенту
2026-08-31;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;137;Производство (плетение)
2026-08-31;SIL-18;Шнур кремнеземный 18мм;Приход;32;Производство (плетение)
2026-08-31;SIL-16;Шнур кремнеземный 16мм;Продажа;-39;Отгрузка клиенту
2026-08-31;SIL-16;Шнур кремнеземный 16мм;Приход;46;Производство (плетение)
2026-08-31;SIL-14;Шнур кремнеземный 14мм;Продажа;-41;Отгрузка клиенту
2026-08-31;SIL-14;Шнур кремнеземный 14мм;Приход;62;Производство (плетение)
2026-08-31;SIL-12;Шнур кремнеземный 12мм;Приход;91;Производство (плетение)
2026-08-31;SIL-10;Шнур кремнеземный 10мм;Продажа;-91;Отгрузка клиенту
2026-08-31;SIL-10;Шнур кремнеземный 10мм;Приход;105;Производство (плетение)
2026-08-31;SIL-8;Шнур кремнеземный 8мм;Приход;108;Производство (плетение)
2026-08-31;SIL-6;Шнур кремнеземный 6мм;Приход;147;Производство (плетение)
2026-08-31;SIL-4;Шнур кремнеземный 4мм;Продажа;-120;Отгрузка клиенту
2026-08-31;SIL-4;Шнур кремнеземный 4мм;Приход;155;Производство (плетение)
2026-08-31;PE-10;Канат полиэтиленовый 10мм;Продажа;-188;Отгрузка клиенту
2026-08-31;PE-10;Канат полиэтиленовый 10мм;Приход;203;Производство (плетение)
2026-08-31;PE-8;Канат полиэтиленовый 8мм;Продажа;-159;Отгрузка клиенту
2026-08-31;PE-8;Канат полиэтиленовый 8мм;Приход;297;Производство (плетение)
2026-08-31;PE-6;Канат полиэтиленовый 6мм;Приход;286;Производство (плетение)
2026-08-31;PP-40;Канат ПП 40мм (48-прядный);Продажа;-16;Отгрузка клиенту
2026-08-31;PP-40;Канат ПП 40мм (48-прядный);Приход;21;Производство (плетение)
2026-08-31;PP-32;Канат ПП 32мм (48-прядный);Приход;38;Производство (плетение)
2026-08-31;PP-24;Канат ПП 24мм (48-прядный);Продажа;-55;Отгрузка клиенту
2026-08-31;PP-24;Канат ПП 24мм (48-прядный);Приход;88;Производство (плетение)
2026-08-31;PP-20;Канат ПП 20мм (32-прядный);Продажа;-97;Отгрузка клиенту
2026-08-31;PP-20;Канат ПП 20мм (32-прядный);Приход;132;Производство (плетение)
2026-08-31;PP-16;Канат ПП 16мм (24-прядный);Продажа;-224;Отгрузка клиенту
2026-08-31;PP-16;Канат ПП 16мм (24-прядный);Приход;193;Производство (плетение)
2026-08-31;PP-12;Канат ПП 12мм (16-прядный);Продажа;-250;Отгрузка клиенту
2026-08-31;PP-12;Канат ПП 12мм (16-прядный);Приход;298;Производство (плетение)
2026-08-31;PP-10;Канат ПП 10мм (12-прядный);Продажа;-369;Отгрузка клиенту
2026-08-31;PP-10;Канат ПП 10мм (12-прядный);Приход;320;Производство (плетение)
2026-08-31;PP-8;Канат ПП 8мм (8-прядный);Продажа;-389;Отгрузка клиенту
2026-08-31;PP-8;Канат ПП 8мм (8-прядный);Приход;427;Производство (плетение)
2026-08-31;PA-16;Канат полиамидный 16мм;Приход;137;Производство (плетение)
2026-08-31;PA-14;Канат полиамидный 14мм;Продажа;-112;Отгрузка клиенту
2026-08-31;PA-14;Канат полиамидный 14мм;Приход;166;Производство (плетение)
2026-08-31;PA-12;Канат полиамидный 12мм;Приход;208;Производство (плетение)
2026-08-31;PA-10;Канат полиамидный 10мм;Приход;287;Производство (плетение)
2026-08-31;PA-8;Канат полиамидный 8мм;Продажа;-386;Отгрузка клиенту
2026-08-31;PA-8;Канат полиамидный 8мм;Приход;354;Производство (плетение)
2026-08-31;PA-6;Канат полиамидный 6мм;Продажа;-338;Отгрузка клиенту
2026-08-31;PA-6;Канат полиамидный 6мм;Приход;450;Производство (плетение)
2026-08-31;PA-4;Канат полиамидный 4мм;Приход;560;Производство (плетение)
2026-08-31;LS-16;Канат низкорастяжимый 16мм;Продажа;-46;Отгрузка клиенту
2026-08-31;LS-16;Канат низкорастяжимый 16мм;Приход;77;Производство (плетение)
2026-08-31;LS-14;Канат низкорастяжимый 14мм;Продажа;-88;Отгрузка клиенту
2026-08-31;LS-14;Канат низкорастяжимый 14мм;Приход;95;Производство (плетение)
2026-08-31;LS-12;Канат низкорастяжимый 12мм;Приход;108;Производство (плетение)
2026-08-31;LS-10;Канат низкорастяжимый 10мм;Продажа;-171;Отгрузка клиенту
2026-08-31;LS-10;Канат низкорастяжимый 10мм;Приход;162;Производство (плетение)
2026-08-31;HMPE-12;Канат HMPE 12мм;Продажа;-33;Отгрузка клиенту
2026-08-31;HMPE-12;Канат HMPE 12мм;Приход;49;Производство (плетение)
2026-08-31;HMPE-10;Канат HMPE 10мм;Продажа;-48;Отгрузка клиенту
2026-08-31;HMPE-10;Канат HMPE 10мм;Приход;93;Производство (плетение)
2026-08-31;HMPE-8;Канат HMPE 8мм;Продажа;-134;Отгрузка клиенту
2026-08-31;HMPE-8;Канат HMPE 8мм;Приход;143;Производство (плетение)
2026-08-31;HMPE-6;Канат HMPE 6мм;Продажа;-235;Отгрузка клиенту
2026-08-31;HMPE-6;Канат HMPE 6мм;Приход;224;Производство (плетение)
2026-08-31;HMPE-4;Канат HMPE 4мм;Приход;278;Производство (плетение)
2026-08-31;HMPE-3;Канат HMPE 3мм;Продажа;-381;Отгрузка клиенту
2026-08-31;HMPE-3;Канат HMPE 3мм;Приход;342;Производство (плетение)
2026-08-31;HMPE-2;Канат HMPE 2мм;Продажа;-350;Отгрузка клиенту
2026-08-31;HMPE-2;Канат HMPE 2мм;Приход;432;Производство (плетение)
2026-08-31;ARAM-6;Шнур арамидный 6мм;Приход;158;Производство (плетение)
2026-08-31;ARAM-4;Шнур арамидный 4мм;Продажа;-101;Отгрузка клиенту
2026-08-31;ARAM-4;Шнур арамидный 4мм;Приход;205;Производство (плетение)
2026-08-31;REP-8;Репшнур 8мм (ПА);Приход;203;Производство (плетение)
2026-08-31;REP-7;Репшнур 7мм (арамид);Продажа;-161;Отгрузка клиенту
2026-08-31;REP-7;Репшнур 7мм (арамид);Приход;135;Производство (плетение)
2026-08-31;REP-6;Репшнур 6мм (ПА);Продажа;-314;Отгрузка клиенту
2026-08-31;REP-6;Репшнур 6мм (ПА);Приход;410;Производство (плетение)
2026-08-31;REP-4;Репшнур 4мм (ПА);Приход;292;Производство (плетение)
2026-08-31;DYN-105;Верёвка динамическая 10.5мм;Приход;60;Производство (плетение)
2026-08-31;DYN-98;Верёвка динамическая 9.8мм;Приход;59;Производство (плетение)
2026-08-31;STAT-12;Верёвка статическая 12мм;Продажа;-83;Отгрузка клиенту
2026-08-31;STAT-12;Верёвка статическая 12мм;Приход;89;Производство (плетение)
2026-08-31;STAT-11;Верёвка статическая 11мм;Продажа;-95;Отгрузка клиенту
2026-08-31;STAT-11;Верёвка статическая 11мм;Приход;142;Производство (плетение)
2026-08-31;STAT-105;Верёвка статическая 10.5мм;Приход;155;Производство (плетение)
2026-08-31;STAT-10;Верёвка статическая 10мм;Продажа;-134;Отгрузка клиенту
2026-08-31;STAT-10;Верёвка статическая 10мм;Приход;237;Производство (плетение)
2026-08-31;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Продажа;-76;Отгрузка клиенту
2026-08-31;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;109;Производство (плетение)
2026-08-31;TAPE-PK;Скотч упаковочный;Расход;-21.4;Расход в производство
2026-08-31;PKG-BOX;Коробки картонные;Расход;-39.1;Расход в производство
2026-08-31;PKG-STR;Стрейч-плёнка;Расход;-12.5;Расход в производство
2026-08-31;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-15.4;Расход в производство
2026-08-31;GLS-R;Ровинг стеклянный;Расход;-25.1;Расход в производство
2026-08-31;BAS-R;Ровинг базальтовый;Расход;-28.2;Расход в производство
2026-08-31;SIL-F;Волокно кремнеземное;Расход;-19.9;Расход в производство
2026-08-31;ARAM-F;Нить арамидная (Русар);Расход;-12.8;Расход в производство
2026-08-31;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-14.8;Расход в производство
2026-08-28;PACK-10;Верёвка упакованная 10мм (бухты);Приход;371;Производство (плетение)
2026-08-28;HORSE-10;Шнур конный спорт 10мм;Продажа;-119;Отгрузка клиенту
2026-08-28;HORSE-10;Шнур конный спорт 10мм;Приход;120;Производство (плетение)
2026-08-28;HORSE-8;Шнур конный спорт 8мм;Продажа;-93;Отгрузка клиенту
2026-08-28;HORSE-8;Шнур конный спорт 8мм;Приход;136;Производство (плетение)
2026-08-28;BANNER-4;Шнур баннерный 4мм;Продажа;-283;Отгрузка клиенту
2026-08-28;BANNER-4;Шнур баннерный 4мм;Приход;409;Производство (плетение)
2026-08-28;BANNER-3;Шнур баннерный 3мм;Продажа;-311;Отгрузка клиенту
2026-08-28;BANNER-3;Шнур баннерный 3мм;Приход;560;Производство (плетение)
2026-08-28;BAG-5;Шнур для пакетов 5мм;Продажа;-702;Отгрузка клиенту
2026-08-28;BAG-5;Шнур для пакетов 5мм;Приход;630;Производство (плетение)
2026-08-28;BAG-4;Шнур для пакетов 4мм;Продажа;-568;Отгрузка клиенту
2026-08-28;BAG-4;Шнур для пакетов 4мм;Приход;871;Производство (плетение)
2026-08-28;CARGO-24;Канат грузовой 24мм;Продажа;-67;Отгрузка клиенту
2026-08-28;CARGO-24;Канат грузовой 24мм;Приход;60;Производство (плетение)
2026-08-28;CARGO-20;Канат грузовой 20мм;Продажа;-113;Отгрузка клиенту
2026-08-28;CARGO-20;Канат грузовой 20мм;Приход;112;Производство (плетение)
2026-08-28;CARGO-16;Канат грузовой 16мм;Продажа;-172;Отгрузка клиенту
2026-08-28;CARGO-16;Канат грузовой 16мм;Приход;138;Производство (плетение)
2026-08-28;FENCE-10;Канат ограждающий 10мм;Продажа;-146;Отгрузка клиенту
2026-08-28;FENCE-10;Канат ограждающий 10мм;Приход;186;Производство (плетение)
2026-08-28;FENCE-8;Канат ограждающий 8мм;Продажа;-147;Отгрузка клиенту
2026-08-28;FENCE-8;Канат ограждающий 8мм;Приход;266;Производство (плетение)
2026-08-28;FENCE-6;Канат ограждающий 6мм;Продажа;-235;Отгрузка клиенту
2026-08-28;FENCE-6;Канат ограждающий 6мм;Приход;285;Производство (плетение)
2026-08-28;CABLE-8;Трос-лидер 8мм;Продажа;-63;Отгрузка клиенту
2026-08-28;CABLE-8;Трос-лидер 8мм;Приход;116;Производство (плетение)
2026-08-28;CABLE-6;Канат для протяжки кабеля 6мм;Продажа;-137;Отгрузка клиенту
2026-08-28;CABLE-6;Канат для протяжки кабеля 6мм;Приход;169;Производство (плетение)
2026-08-28;CABLE-4;Канат для протяжки кабеля 4мм;Приход;263;Производство (плетение)
2026-08-28;LEER-8;Леер для лодок 8мм;Продажа;-107;Отгрузка клиенту
2026-08-28;LEER-8;Леер для лодок 8мм;Приход;120;Производство (плетение)
2026-08-28;LEER-6;Леер для лодок 6мм;Продажа;-109;Отгрузка клиенту
2026-08-28;LEER-6;Леер для лодок 6мм;Приход;151;Производство (плетение)
2026-08-28;LEER-5;Леер для лодок 5мм;Продажа;-219;Отгрузка клиенту
2026-08-28;LEER-5;Леер для лодок 5мм;Приход;226;Производство (плетение)
2026-08-28;YAHT-12;Канат яхтенный 12мм;Приход;99;Производство (плетение)
2026-08-28;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;165;Производство (плетение)
2026-08-28;YAHT-8;Канат яхтенный 8мм;Продажа;-195;Отгрузка клиенту
2026-08-28;YAHT-8;Канат яхтенный 8мм;Приход;205;Производство (плетение)
2026-08-28;YAHT-6;Канат яхтенный (шкоты) 6мм;Продажа;-271;Отгрузка клиенту
2026-08-28;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;292;Производство (плетение)
2026-08-28;FISH-3;Шнур рыболовный 3мм;Приход;331;Производство (плетение)
2026-08-28;FISH-25;Шнур рыболовный 2.5мм;Продажа;-339;Отгрузка клиенту
2026-08-28;FISH-25;Шнур рыболовный 2.5мм;Приход;447;Производство (плетение)
2026-08-28;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;677;Производство (плетение)
2026-08-28;GLS-10;Шнур стеклянный 10мм;Продажа;-47;Отгрузка клиенту
2026-08-28;GLS-10;Шнур стеклянный 10мм;Приход;61;Производство (плетение)
2026-08-28;GLS-8;Шнур стеклянный 8мм;Продажа;-74;Отгрузка клиенту
2026-08-28;GLS-8;Шнур стеклянный 8мм;Приход;89;Производство (плетение)
2026-08-28;GLS-6;Шнур стеклянный 6мм;Приход;105;Производство (плетение)
2026-08-28;GLS-4;Шнур стеклянный 4мм;Продажа;-120;Отгрузка клиенту
2026-08-28;GLS-4;Шнур стеклянный 4мм;Приход;141;Производство (плетение)
2026-08-28;BAS-12;Шнур базальтовый 12мм;Продажа;-60;Отгрузка клиенту
2026-08-28;BAS-12;Шнур базальтовый 12мм;Приход;84;Производство (плетение)
2026-08-28;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;103;Производство (плетение)
2026-08-28;BAS-8;Шнур базальтовый 8мм (сердечник);Продажа;-106;Отгрузка клиенту
2026-08-28;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;101;Производство (плетение)
2026-08-28;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;139;Производство (плетение)
2026-08-28;SIL-18;Шнур кремнеземный 18мм;Приход;31;Производство (плетение)
2026-08-28;SIL-16;Шнур кремнеземный 16мм;Продажа;-50;Отгрузка клиенту
2026-08-28;SIL-16;Шнур кремнеземный 16мм;Приход;53;Производство (плетение)
2026-08-28;SIL-14;Шнур кремнеземный 14мм;Продажа;-61;Отгрузка клиенту
2026-08-28;SIL-14;Шнур кремнеземный 14мм;Приход;64;Производство (плетение)
2026-08-28;SIL-12;Шнур кремнеземный 12мм;Продажа;-52;Отгрузка клиенту
2026-08-28;SIL-12;Шнур кремнеземный 12мм;Приход;93;Производство (плетение)
2026-08-28;SIL-10;Шнур кремнеземный 10мм;Продажа;-63;Отгрузка клиенту
2026-08-28;SIL-10;Шнур кремнеземный 10мм;Приход;101;Производство (плетение)
2026-08-28;SIL-8;Шнур кремнеземный 8мм;Продажа;-128;Отгрузка клиенту
2026-08-28;SIL-8;Шнур кремнеземный 8мм;Приход;139;Производство (плетение)
2026-08-28;SIL-6;Шнур кремнеземный 6мм;Продажа;-77;Отгрузка клиенту
2026-08-28;SIL-6;Шнур кремнеземный 6мм;Приход;135;Производство (плетение)
2026-08-28;SIL-4;Шнур кремнеземный 4мм;Продажа;-93;Отгрузка клиенту
2026-08-28;SIL-4;Шнур кремнеземный 4мм;Приход;168;Производство (плетение)
2026-08-28;PE-10;Канат полиэтиленовый 10мм;Продажа;-191;Отгрузка клиенту
2026-08-28;PE-10;Канат полиэтиленовый 10мм;Приход;173;Производство (плетение)
2026-08-28;PE-8;Канат полиэтиленовый 8мм;Продажа;-236;Отгрузка клиенту
2026-08-28;PE-8;Канат полиэтиленовый 8мм;Приход;261;Производство (плетение)
2026-08-28;PE-6;Канат полиэтиленовый 6мм;Продажа;-265;Отгрузка клиенту
2026-08-28;PE-6;Канат полиэтиленовый 6мм;Приход;332;Производство (плетение)
2026-08-28;PP-40;Канат ПП 40мм (48-прядный);Приход;22;Производство (плетение)
2026-08-28;PP-32;Канат ПП 32мм (48-прядный);Приход;41;Производство (плетение)
2026-08-28;PP-24;Канат ПП 24мм (48-прядный);Продажа;-49;Отгрузка клиенту
2026-08-28;PP-24;Канат ПП 24мм (48-прядный);Приход;87;Производство (плетение)
2026-08-28;PP-20;Канат ПП 20мм (32-прядный);Продажа;-92;Отгрузка клиенту
2026-08-28;PP-20;Канат ПП 20мм (32-прядный);Приход;142;Производство (плетение)
2026-08-28;PP-16;Канат ПП 16мм (24-прядный);Продажа;-108;Отгрузка клиенту
2026-08-28;PP-16;Канат ПП 16мм (24-прядный);Приход;191;Производство (плетение)
2026-08-28;PP-12;Канат ПП 12мм (16-прядный);Продажа;-228;Отгрузка клиенту
2026-08-28;PP-12;Канат ПП 12мм (16-прядный);Приход;306;Производство (плетение)
2026-08-28;PP-10;Канат ПП 10мм (12-прядный);Продажа;-350;Отгрузка клиенту
2026-08-28;PP-10;Канат ПП 10мм (12-прядный);Приход;349;Производство (плетение)
2026-08-28;PP-8;Канат ПП 8мм (8-прядный);Приход;393;Производство (плетение)
2026-08-28;PA-16;Канат полиамидный 16мм;Приход;115;Производство (плетение)
2026-08-28;PA-14;Канат полиамидный 14мм;Продажа;-191;Отгрузка клиенту
2026-08-28;PA-14;Канат полиамидный 14мм;Приход;174;Производство (плетение)
2026-08-28;PA-12;Канат полиамидный 12мм;Приход;250;Производство (плетение)
2026-08-28;PA-10;Канат полиамидный 10мм;Продажа;-166;Отгрузка клиенту
2026-08-28;PA-10;Канат полиамидный 10мм;Приход;287;Производство (плетение)
2026-08-28;PA-8;Канат полиамидный 8мм;Продажа;-248;Отгрузка клиенту
2026-08-28;PA-8;Канат полиамидный 8мм;Приход;367;Производство (плетение)
2026-08-28;PA-6;Канат полиамидный 6мм;Продажа;-502;Отгрузка клиенту
2026-08-28;PA-6;Канат полиамидный 6мм;Приход;420;Производство (плетение)
2026-08-28;PA-4;Канат полиамидный 4мм;Продажа;-567;Отгрузка клиенту
2026-08-28;PA-4;Канат полиамидный 4мм;Приход;552;Производство (плетение)
2026-08-28;LS-16;Канат низкорастяжимый 16мм;Приход;83;Производство (плетение)
2026-08-28;LS-14;Канат низкорастяжимый 14мм;Продажа;-46;Отгрузка клиенту
2026-08-28;LS-14;Канат низкорастяжимый 14мм;Приход;86;Производство (плетение)
2026-08-28;LS-12;Канат низкорастяжимый 12мм;Продажа;-136;Отгрузка клиенту
2026-08-28;LS-12;Канат низкорастяжимый 12мм;Приход;132;Производство (плетение)
2026-08-28;LS-10;Канат низкорастяжимый 10мм;Приход;179;Производство (плетение)
2026-08-28;HMPE-12;Канат HMPE 12мм;Приход;48;Производство (плетение)
2026-08-28;HMPE-10;Канат HMPE 10мм;Приход;73;Производство (плетение)
2026-08-28;HMPE-8;Канат HMPE 8мм;Продажа;-138;Отгрузка клиенту
2026-08-28;HMPE-8;Канат HMPE 8мм;Приход;126;Производство (плетение)
2026-08-28;HMPE-6;Канат HMPE 6мм;Продажа;-150;Отгрузка клиенту
2026-08-28;HMPE-6;Канат HMPE 6мм;Приход;213;Производство (плетение)
2026-08-28;HMPE-4;Канат HMPE 4мм;Продажа;-155;Отгрузка клиенту
2026-08-28;HMPE-4;Канат HMPE 4мм;Приход;317;Производство (плетение)
2026-08-28;HMPE-3;Канат HMPE 3мм;Продажа;-234;Отгрузка клиенту
2026-08-28;HMPE-3;Канат HMPE 3мм;Приход;412;Производство (плетение)
2026-08-28;HMPE-2;Канат HMPE 2мм;Приход;434;Производство (плетение)
2026-08-28;ARAM-6;Шнур арамидный 6мм;Продажа;-109;Отгрузка клиенту
2026-08-28;ARAM-6;Шнур арамидный 6мм;Приход;157;Производство (плетение)
2026-08-28;ARAM-4;Шнур арамидный 4мм;Приход;202;Производство (плетение)
2026-08-28;REP-8;Репшнур 8мм (ПА);Продажа;-137;Отгрузка клиенту
2026-08-28;REP-8;Репшнур 8мм (ПА);Приход;205;Производство (плетение)
2026-08-28;REP-7;Репшнур 7мм (арамид);Приход;168;Производство (плетение)
2026-08-28;REP-6;Репшнур 6мм (ПА);Продажа;-392;Отгрузка клиенту
2026-08-28;REP-6;Репшнур 6мм (ПА);Приход;389;Производство (плетение)
2026-08-28;REP-4;Репшнур 4мм (ПА);Продажа;-226;Отгрузка клиенту
2026-08-28;REP-4;Репшнур 4мм (ПА);Приход;309;Производство (плетение)
2026-08-28;DYN-105;Верёвка динамическая 10.5мм;Продажа;-34;Отгрузка клиенту
2026-08-28;DYN-105;Верёвка динамическая 10.5мм;Приход;57;Производство (плетение)
2026-08-28;DYN-98;Верёвка динамическая 9.8мм;Продажа;-62;Отгрузка клиенту
2026-08-28;DYN-98;Верёвка динамическая 9.8мм;Приход;56;Производство (плетение)
2026-08-28;STAT-12;Верёвка статическая 12мм;Продажа;-94;Отгрузка клиенту
2026-08-28;STAT-12;Верёвка статическая 12мм;Приход;74;Производство (плетение)
2026-08-28;STAT-11;Верёвка статическая 11мм;Продажа;-70;Отгрузка клиенту
2026-08-28;STAT-11;Верёвка статическая 11мм;Приход;132;Производство (плетение)
2026-08-28;STAT-105;Верёвка статическая 10.5мм;Продажа;-76;Отгрузка клиенту
2026-08-28;STAT-105;Верёвка статическая 10.5мм;Приход;171;Производство (плетение)
2026-08-28;STAT-10;Верёвка статическая 10мм;Продажа;-122;Отгрузка клиенту
2026-08-28;STAT-10;Верёвка статическая 10мм;Приход;202;Производство (плетение)
2026-08-28;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Продажа;-107;Отгрузка клиенту
2026-08-28;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;134;Производство (плетение)
2026-08-28;TAPE-PK;Скотч упаковочный;Расход;-22.8;Расход в производство
2026-08-28;PKG-BOX;Коробки картонные;Расход;-38.2;Расход в производство
2026-08-28;PKG-STR;Стрейч-плёнка;Расход;-18;Расход в производство
2026-08-28;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-14.6;Расход в производство
2026-08-28;GLS-R;Ровинг стеклянный;Расход;-33.5;Расход в производство
2026-08-28;BAS-R;Ровинг базальтовый;Расход;-26.9;Расход в производство
2026-08-28;SIL-F;Волокно кремнеземное;Расход;-18.7;Расход в производство
2026-08-28;ARAM-F;Нить арамидная (Русар);Расход;-13;Расход в производство
2026-08-28;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-12.8;Расход в производство
2026-08-27;PACK-10;Верёвка упакованная 10мм (бухты);Приход;453;Производство (плетение)
2026-08-27;HORSE-10;Шнур конный спорт 10мм;Продажа;-66;Отгрузка клиенту
2026-08-27;HORSE-10;Шнур конный спорт 10мм;Приход;137;Производство (плетение)
2026-08-27;HORSE-8;Шнур конный спорт 8мм;Приход;173;Производство (плетение)
2026-08-27;BANNER-4;Шнур баннерный 4мм;Приход;366;Производство (плетение)
2026-08-27;BANNER-3;Шнур баннерный 3мм;Продажа;-400;Отгрузка клиенту
2026-08-27;BANNER-3;Шнур баннерный 3мм;Приход;582;Производство (плетение)
2026-08-27;BAG-5;Шнур для пакетов 5мм;Продажа;-341;Отгрузка клиенту
2026-08-27;BAG-5;Шнур для пакетов 5мм;Приход;615;Производство (плетение)
2026-08-27;BAG-4;Шнур для пакетов 4мм;Продажа;-883;Отгрузка клиенту
2026-08-27;BAG-4;Шнур для пакетов 4мм;Приход;841;Производство (плетение)
2026-08-27;CARGO-24;Канат грузовой 24мм;Приход;56;Производство (плетение)
2026-08-27;CARGO-20;Канат грузовой 20мм;Продажа;-96;Отгрузка клиенту
2026-08-27;CARGO-20;Канат грузовой 20мм;Приход;97;Производство (плетение)
2026-08-27;CARGO-16;Канат грузовой 16мм;Продажа;-178;Отгрузка клиенту
2026-08-27;CARGO-16;Канат грузовой 16мм;Приход;139;Производство (плетение)
2026-08-27;FENCE-10;Канат ограждающий 10мм;Приход;180;Производство (плетение)
2026-08-27;FENCE-8;Канат ограждающий 8мм;Продажа;-189;Отгрузка клиенту
2026-08-27;FENCE-8;Канат ограждающий 8мм;Приход;257;Производство (плетение)
2026-08-27;FENCE-6;Канат ограждающий 6мм;Продажа;-342;Отгрузка клиенту
2026-08-27;FENCE-6;Канат ограждающий 6мм;Приход;293;Производство (плетение)
2026-08-27;CABLE-8;Трос-лидер 8мм;Продажа;-100;Отгрузка клиенту
2026-08-27;CABLE-8;Трос-лидер 8мм;Приход;123;Производство (плетение)
2026-08-27;CABLE-6;Канат для протяжки кабеля 6мм;Продажа;-189;Отгрузка клиенту
2026-08-27;CABLE-6;Канат для протяжки кабеля 6мм;Приход;166;Производство (плетение)
2026-08-27;CABLE-4;Канат для протяжки кабеля 4мм;Продажа;-277;Отгрузка клиенту
